cohort,strategy,net_winning_payout_reduction,selections,events,wins,losses,risk_units,profit_units,roi,roi_ci_95_lower,roi_ci_95_upper,bootstrap_samples,event_close_drawdown_units,source_fight_id_order_drawdown_units,mean_estimated_return_before_stress,mean_selected_win_probability,observed_win_rate,underdog_bets,median_decimal_odds
all_scored_years,current_model,0.0,748,185,291,457,748.0,-42.59362,-0.056943342245989306,-0.15139976869263874,0.04187422587854703,10000,58.759640000000005,60.32328000000001,0.3827073513704865,0.5085558221062374,0.3890374331550802,558,2.64
all_scored_years,fixed_50_50_logit_blend,0.0,633,181,227,406,633.0,-50.87321000000001,-0.08036842022116905,-0.1900852561778545,0.029667181080507275,10000,58.54282,59.74282000000001,0.20528072871109185,0.43172242442393605,0.358609794628752,503,2.76
all_scored_years,leave_one_out_market,0.0,27,25,2,25,27.0,-15.0,-0.5555555555555556,-1.0,0.2413793103448276,10000,23.0,23.0,0.16161479735135545,0.1876493911830399,0.07407407407407407,27,6.75
all_scored_years,market_first_candidate,0.0,113,67,60,53,113.0,-6.662239999999998,-0.05895787610619467,-0.24830987624848666,0.13419509343434333,10000,14.272099999999998,14.272099999999998,0.08554226798397446,0.569995334638705,0.5309734513274337,39,1.8
all_scored_years,no_bets,0.0,0,0,0,0,0.0,0.0,,,,0,0.0,0.0,,,,0,
all_scored_years,current_model,0.02,748,185,291,457,748.0,-50.8817476,-0.06802372673796792,-0.1612576695921371,0.029516636128315937,10000,64.28444719999999,65.7968144,0.3827073513704865,0.5085558221062374,0.3890374331550802,558,2.64
all_scored_years,fixed_50_50_logit_blend,0.02,633,181,227,406,633.0,-57.9757458,-0.09158885592417061,-0.19990356987825572,0.016944157919404852,10000,63.271963600000035,64.4279636,0.20528072871109185,0.43172242442393605,0.358609794628752,503,2.76
all_scored_years,leave_one_out_market,0.02,27,25,2,25,27.0,-15.2,-0.5629629629629629,-1.0,0.21931034482758618,10000,23.04,23.04,0.16161479735135545,0.1876493911830399,0.07407407407407407,27,6.75
all_scored_years,market_first_candidate,0.02,113,67,60,53,113.0,-7.5889951999999985,-0.06715924955752212,-0.2547370448482143,0.12402458434894079,10000,14.686658000000001,14.686658,0.08554226798397446,0.569995334638705,0.5309734513274337,39,1.8
all_scored_years,no_bets,0.02,0,0,0,0,0.0,0.0,,,,0,0.0,0.0,,,,0,
all_scored_years,current_model,0.05,748,185,291,457,748.0,-63.313939000000026,-0.08464430347593586,-0.175988416026111,0.010945972309652979,10000,72.57165800000001,74.00711600000001,0.3827073513704865,0.5085558221062374,0.3890374331550802,558,2.64
all_scored_years,fixed_50_50_logit_blend,0.05,633,181,227,406,633.0,-68.62954950000002,-0.10841950947867303,-0.21464911603812828,-0.0023168687799834985,10000,70.36567900000001,71.45567899999998,0.20528072871109185,0.43172242442393605,0.358609794628752,503,2.76
all_scored_years,leave_one_out_market,0.05,27,25,2,25,27.0,-15.500000000000002,-0.5740740740740742,-1.0,0.1862068965517241,10000,23.1,23.1,0.16161479735135545,0.1876493911830399,0.07407407407407407,27,6.75
all_scored_years,market_first_candidate,0.05,113,67,60,53,113.0,-8.979128000000003,-0.0794613097345133,-0.26405105549089075,0.10887253405963296,10000,15.308495,15.308495,0.08554226798397446,0.569995334638705,0.5309734513274337,39,1.8
all_scored_years,no_bets,0.05,0,0,0,0,0.0,0.0,,,,0,0.0,0.0,,,,0,
