strategy,dimension,value,net_winning_payout_reduction,selections,events,wins,losses,risk_units,profit_units,roi,roi_ci_95_lower,roi_ci_95_upper,bootstrap_samples,event_close_drawdown_units,source_fight_id_order_drawdown_units,mean_estimated_return_before_stress,mean_selected_win_probability,observed_win_rate,underdog_bets,median_decimal_odds
current_model,year,2022,0.0,146,41,58,88,146.0,-2.7874999999999996,-0.019092465753424655,-0.22826441394927538,0.18477902611940297,10000,13.49,15.6,0.37889491235953343,0.5164536254654811,0.3972602739726027,110,2.6
current_model,year,2022,0.02,146,41,58,88,146.0,-4.491749999999998,-0.030765410958904095,-0.237253524278813,0.1706626118847091,10000,13.6402,15.668,0.37889491235953343,0.5164536254654811,0.3972602739726027,110,2.6
current_model,year,2022,0.05,146,41,58,88,146.0,-7.048125000000002,-0.0482748287671233,-0.2511045625060183,0.1494469992300995,10000,13.8655,15.770000000000001,0.37889491235953343,0.5164536254654811,0.3972602739726027,110,2.6
current_model,year,2023,0.0,173,41,72,101,173.0,2.222499999999995,0.012846820809248524,-0.19660110773480663,0.25016208362143477,10000,23.456329999999998,28.19769,0.27876503463436586,0.5111996859165754,0.4161849710982659,125,2.5
current_model,year,2023,0.02,173,41,72,101,173.0,0.15804999999999758,0.0009135838150288877,-0.20572018683632734,0.23463007048701295,10000,23.953736199999998,28.873736200000003,0.27876503463436586,0.5111996859165754,0.4161849710982659,125,2.5
current_model,year,2023,0.05,173,41,72,101,173.0,-2.9386250000000054,-0.01698627167630061,-0.2188785597732346,0.2113362815746753,10000,25.0878055,29.8878055,0.27876503463436586,0.5111996859165754,0.4161849710982659,125,2.5
current_model,year,2024,0.0,221,42,85,136,221.0,-4.383029999999998,-0.019832714932126686,-0.21536278931159422,0.18495995827770356,10000,18.94747,21.947470000000003,0.41567587399884165,0.49096570791736255,0.38461538461538464,173,2.85
current_model,year,2024,0.02,221,42,85,136,221.0,-7.015369399999994,-0.03174375294117644,-0.22452444583361142,0.17031912953004694,10000,21.148520600000005,24.1485206,0.41567587399884165,0.49096570791736255,0.38461538461538464,173,2.85
current_model,year,2024,0.05,221,42,85,136,221.0,-10.96387850000001,-0.04961030995475118,-0.23848707067494448,0.14834993846764233,10000,24.450096500000008,27.450096500000004,0.41567587399884165,0.49096570791736255,0.38461538461538464,173,2.85
current_model,year,2025,0.0,149,38,55,94,149.0,-23.511090000000003,-0.1577925503355705,-0.3224310391643212,0.008667963940262355,10000,26.965599999999995,30.806510000000006,0.4443837563299816,0.5114382455389033,0.3691275167785235,106,2.75
current_model,year,2025,0.02,149,38,55,94,149.0,-24.9208682,-0.1672541489932886,-0.3302954228521127,-0.002558726831613755,10000,28.066288000000004,32.0103798,0.4443837563299816,0.5114382455389033,0.3691275167785235,106,2.75
current_model,year,2025,0.05,149,38,55,94,149.0,-27.03553550000001,-0.18144654697986584,-0.34133191935696333,-0.020078939769108375,10000,29.71732,33.8161845,0.4443837563299816,0.5114382455389033,0.3691275167785235,106,2.75
current_model,year,2026,0.0,59,23,21,38,59.0,-14.1345,-0.23956779661016947,-0.46385694346217105,-0.010353447939068172,10000,15.796999999999999,17.360640000000004,0.41767021664365117,0.5398688121848152,0.3559322033898305,44,2.6
current_model,year,2026,0.02,59,23,21,38,59.0,-14.611809999999998,-0.24765779661016946,-0.46966582792833145,-0.020857647954106353,10000,16.18106,17.693427200000002,0.41767021664365117,0.5398688121848152,0.3559322033898305,44,2.6
current_model,year,2026,0.05,59,23,21,38,59.0,-15.327775000000003,-0.2597927966101695,-0.478114769435307,-0.03662406507015842,10000,16.75715,18.192608,0.41767021664365117,0.5398688121848152,0.3559322033898305,44,2.6
current_model,book_name,BetMGM,0.0,133,83,55,78,133.0,10.671509999999998,0.08023691729323307,-0.14768608478735004,0.31725317276119397,10000,17.43212,17.482120000000002,0.33340712354651825,0.48117822216615985,0.41353383458646614,103,2.85
current_model,book_name,BetMGM,0.02,133,83,55,78,133.0,8.898079799999996,0.06690285563909772,-0.1579477085722895,0.30069780872970897,10000,17.543477600000003,17.6324776,0.33340712354651825,0.48117822216615985,0.41353383458646614,103,2.85
current_model,book_name,BetMGM,0.05,133,83,55,78,133.0,6.237934499999994,0.046901763157894696,-0.17351769878226106,0.27586914278572977,10000,17.710514,17.858013999999997,0.33340712354651825,0.48117822216615985,0.41353383458646614,103,2.85
current_model,book_name,BetRivers,0.0,115,85,34,81,115.0,-25.892229999999998,-0.2251498260869565,-0.48037549127343243,0.0558119639020825,10000,27.807239999999997,27.807239999999997,0.5048493534044372,0.4817816710027481,0.2956521739130435,91,2.95
current_model,book_name,BetRivers,0.02,115,85,34,81,115.0,-26.994385400000002,-0.23473378608695655,-0.48654224005602237,0.04171965765045542,10000,28.251095199999995,28.251095199999995,0.5048493534044372,0.4817816710027481,0.2956521739130435,91,2.95
current_model,book_name,BetRivers,0.05,115,85,34,81,115.0,-28.6476185,-0.24910972608695653,-0.4957284362745098,0.020872802420555878,10000,29.737618500000007,29.737618500000004,0.5048493534044372,0.4817816710027481,0.2956521739130435,91,2.95
current_model,book_name,BetWay,0.0,73,61,37,36,73.0,-0.12441000000000146,-0.0017042465753424859,-0.24062785805860804,0.2474889442647058,10000,8.53331,9.53331,0.327043874249542,0.5716412654907383,0.5068493150684932,45,2.25
current_model,book_name,BetWay,0.02,73,61,37,36,73.0,-0.841921800000001,-0.011533175342465767,-0.24809489806841048,0.23504510242777774,10000,8.7426438,9.7426438,0.327043874249542,0.5716412654907383,0.5068493150684932,45,2.25
current_model,book_name,BetWay,0.05,73,61,37,36,73.0,-1.9181895000000013,-0.026276568493150704,-0.2589433844642858,0.21621232735897425,10000,9.365602500000001,10.0566445,0.327043874249542,0.5716412654907383,0.5068493150684932,45,2.25
current_model,book_name,Caesars,0.0,170,107,66,104,170.0,-3.8810199999999995,-0.022829529411764703,-0.22938140381854724,0.1874740000175364,10000,12.10968,12.91296,0.398845972411264,0.4992150899545976,0.38823529411764707,136,2.675
current_model,book_name,Caesars,0.02,170,107,66,104,170.0,-5.8833996000000015,-0.03460823294117648,-0.23857381483005158,0.17292897399789028,10000,12.327486399999998,13.1747008,0.398845972411264,0.4992150899545976,0.38823529411764707,136,2.675
current_model,book_name,Caesars,0.05,170,107,66,104,170.0,-8.886969000000008,-0.05227628823529416,-0.2519453682702379,0.15100942684649954,10000,13.838948500000004,14.838948500000008,0.398845972411264,0.4992150899545976,0.38823529411764707,136,2.675
current_model,book_name,DraftKings,0.0,131,78,48,83,131.0,-15.968679999999999,-0.12189832061068702,-0.30898497747125164,0.07739880882352942,10000,22.868270000000003,24.51827,0.35602148241107273,0.5070298378721023,0.366412213740458,92,2.64
current_model,book_name,DraftKings,0.02,131,78,48,83,131.0,-17.309306399999997,-0.1321321099236641,-0.31648929494969036,0.06431699167378667,10000,23.592904599999997,25.2079046,0.35602148241107273,0.5070298378721023,0.366412213740458,92,2.64
current_model,book_name,DraftKings,0.05,131,78,48,83,131.0,-19.320246000000004,-0.1474827938931298,-0.3280738140977277,0.044387331146083835,10000,24.829856500000005,26.242356500000003,0.35602148241107273,0.5070298378721023,0.366412213740458,92,2.64
current_model,book_name,FanDuel,0.0,125,81,51,74,125.0,-6.398790000000002,-0.05119032000000001,-0.25070462646424724,0.15942767470923402,10000,15.061819999999999,15.571969999999997,0.3540910791075688,0.5396905122334159,0.408,90,2.48
current_model,book_name,FanDuel,0.02,125,81,51,74,125.0,-7.7508142,-0.0620065136,-0.25929862651759533,0.14593933091670677,10000,15.5205836,16.0805306,0.3540910791075688,0.5396905122334159,0.408,90,2.48
current_model,book_name,FanDuel,0.05,125,81,51,74,125.0,-9.778850500000003,-0.07823080400000001,-0.2717991894595791,0.12603532881293894,10000,16.208729,16.843371500000003,0.3540910791075688,0.5396905122334159,0.408,90,2.48
current_model,book_name,Unibet,0.0,1,1,0,1,1.0,-1.0,-1.0,,,0,1.0,1.0,1.28605853749856,0.519558758522399,0.0,1,4.4
current_model,book_name,Unibet,0.02,1,1,0,1,1.0,-1.0,-1.0,,,0,1.0,1.0,1.28605853749856,0.519558758522399,0.0,1,4.4
current_model,book_name,Unibet,0.05,1,1,0,1,1.0,-1.0,-1.0,,,0,1.0,1.0,1.28605853749856,0.519558758522399,0.0,1,4.4
current_model,odds_band,1_to_2,0.0,190,117,125,65,190.0,19.59638,0.10313884210526315,-0.00673206398809524,0.21329938004201676,10000,6.60121,7.399780000000002,0.15767506357406888,0.688808819579996,0.6578947368421053,0,1.71429
