date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,current_logistic_probability,division,division_group,group_model_probability,group_model_status,global_only_probability,shared_pooling_weight_probability,group_specific_pooling_weights_probability,fully_separate_groups_probability
2022-09-03,00a905a4a4a2b071,810c9da07970c4a6,787bb1f087ccff8a,c62fbc117d57b943,Ciryl Gane,Tai Tuivasa,1,0.718787255370506,Heavyweight,mens_light_heavy_plus,0.704362442189074,separate_group_model,0.718787255370506,0.71162849076429,0.70800874665576,0.704362442189074
2022-09-10,93bf96be327fcd98,86d57e8ef2191316,326a001926ffb7ec,f998f5c102250d6e,Darian Weeks,Yohan Lainesse,0,0.50037820996544,Welterweight,mens_welter_to_middle,0.461181436603545,separate_group_model,0.50037820996544,0.480750204313602,0.50037820996544,0.461181436603545
2022-09-10,93bf96be327fcd98,a5cf273faa3982b7,3f4c3bc822bea45d,ac7c765882f2c68c,Melissa Martinez,Elise Reed,0,0.682322409643934,Women's Strawweight,womens_all,0.507816048518107,separate_group_model,0.682322409643934,0.598174839111541,0.598174839111541,0.507816048518107
2022-09-10,93bf96be327fcd98,6010f681e54ba2cd,1897b7b913736a7c,c7c39e2fb70248b3,Alatengheili,Chad Anheliger,1,0.613821859319768,Bantamweight,mens_below_welterweight,0.662169933202808,separate_group_model,0.613821859319768,0.638346022392063,0.626164977133907,0.662169933202808
2022-09-10,93bf96be327fcd98,db3e26d02d790c97,a7e3f02fe2b2fe30,d3f5d33d61cd00c9,Danyelle Wolf,Norma Dumont,0,0.275186440933589,Women's Featherweight,womens_all,0.417874505621488,separate_group_model,0.275186440933589,0.34299285943292,0.34299285943292,0.417874505621488
2022-09-10,93bf96be327fcd98,bf334cb4e63f3430,7a5e8c94a86f9895,92fa1401b7927da3,Chris Barnett,Jake Collier,1,0.292141535070144,Heavyweight,mens_light_heavy_plus,0.302352975464713,separate_group_model,0.292141535070144,0.297221949166838,0.299781184441277,0.302352975464713
2022-09-10,93bf96be327fcd98,77acb96700e89c92,0112352cb32f5026,830f60497fab345a,Denis Tiuliulin,Jamie Pickett,1,0.506183088874074,Middleweight,mens_welter_to_middle,0.419657312030731,separate_group_model,0.506183088874074,0.462638930336295,0.506183088874074,0.419657312030731
2022-09-10,93bf96be327fcd98,301f230c90c4bd7d,41e83a89929d1327,82529ce93cd9a2cf,Jailton Almeida,Anton Turkalj,1,0.707726757198546,Catch Weight,unclassified,0.707726757198546,global_fallback_unclassified,0.707726757198546,0.707726757198546,0.707726757198546,0.707726757198546
2022-09-10,93bf96be327fcd98,0e6d624086f7952e,2c9d00968f818270,902ec2cc48c8ae8a,Hakeem Dawodu,Julian Erosa,0,0.727974127398337,Featherweight,mens_below_welterweight,0.743785215242963,separate_group_model,0.727974127398337,0.735955550927366,0.731983670702121,0.743785215242963
2022-09-10,93bf96be327fcd98,d869eaea38426f06,c21f26bbde777573,cd13728ae1151f46,Johnny Walker,Ion Cutelaba,1,0.446656443758024,Light Heavyweight,mens_light_heavy_plus,0.525655612388405,separate_group_model,0.446656443758024,0.486069019532124,0.50587151847411,0.525655612388405
2022-09-10,93bf96be327fcd98,989b8d362742f40b,578ef12674df1e6a,9cdd2da1a9104a0b,Irene Aldana,Macy Chiasson,1,0.416661465688123,Catch Weight,unclassified,0.416661465688123,global_fallback_unclassified,0.416661465688123,0.416661465688123,0.416661465688123,0.416661465688123
2022-09-10,93bf96be327fcd98,d3e23d7d207d3ccf,8a1f3b5c526cd6e6,e64b96c07d7ce999,Daniel Rodriguez,Li Jingliang,1,0.588573893904639,Catch Weight,unclassified,0.588573893904639,global_fallback_unclassified,0.588573893904639,0.58857389390464,0.58857389390464,0.588573893904639
2022-09-10,93bf96be327fcd98,0111e6a64b5184c6,3a46b268013afede,767755fd74662dbf,Kevin Holland,Khamzat Chimaev,0,0.495924519682139,Catch Weight,unclassified,0.495924519682139,global_fallback_unclassified,0.495924519682139,0.495924519682139,0.495924519682139,0.495924519682139
2022-09-10,93bf96be327fcd98,7e8fd03e070d0c25,22a92d7f62195791,8355922d564b152c,Tony Ferguson,Nate Diaz,0,0.569570641718311,Welterweight,mens_welter_to_middle,0.571446210337994,separate_group_model,0.569570641718311,0.570508679093001,0.569570641718311,0.571446210337994
2022-09-17,8d477c3fbe001f9d,8a044e5400b4318f,37f560436d745c18,87e2468b986ebb79,Nikolas Motta,Cameron VanCamp,1,0.440147486105472,Lightweight,mens_below_welterweight,0.519526297757331,separate_group_model,0.440147486105472,0.47970882776041,0.459864934835479,0.519526297757331
2022-09-17,8d477c3fbe001f9d,be73f75b52b06f14,601964f9654f911a,bbab3baf66128ae2,Tony Gravely,Javid Basharat,0,0.518349805184487,Bantamweight,mens_below_welterweight,0.483262047126296,separate_group_model,0.518349805184487,0.500806919597656,0.509581312149882,0.483262047126296
2022-09-17,8d477c3fbe001f9d,d9f5d05b07bae09e,38c7f72747f4f712,a08ddd04eaffd81d,Gillian Robertson,Mariya Agapova,1,0.502632019663237,Women's Flyweight,womens_all,0.494785749031482,separate_group_model,0.502632019663237,0.498708804855739,0.498708804855739,0.494785749031482
2022-09-17,8d477c3fbe001f9d,35d06627d91b840d,4148802ae4a50768,cfc3e7bb44685289,Daniel Zellhuber,Trey Ogden,0,0.700744723599058,Lightweight,mens_below_welterweight,0.711442722230719,separate_group_model,0.700744723599058,0.706122142044765,0.703440482720038,0.711442722230719
