date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,evaluation_year,training_start,training_through,selected_c,calibration_slope,current_82_probability,robust_82_probability,correlation_pruned_probability,selected_baseline_probability,selected_plus_derived_probability,elastic_full_pool_probability,svd_full_pool_probability
2022-01-22,335ad945324c3a2e,5da7168ac2ff0e1d,cda1099995b46cc2,dccb63727f2f5f74,Genaro Valdez,Matt Frevola,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.555574903680529,0.553135209466553,0.566800262978882,0.544561856241631,0.545638350417223,0.535958412368514,0.538926030180142
2022-01-22,335ad945324c3a2e,80f65ee9b6f8d63b,0fd5f4b838e890cc,bf7ad5628363eec9,Said Nurmagomedov,Cody Stamann,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.543138316342546,0.545729875837689,0.562484003170009,0.537081106854798,0.579658836425019,0.553257177357996,0.539525199420617
2022-01-22,335ad945324c3a2e,9687021e5c4d092a,601964f9654f911a,72ea1984c52019b5,Tony Gravely,Saimon Oliveira,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.550438769433843,0.555537423059927,0.537113026585553,0.556917898725159,0.539320644916755,0.551491013203922,0.517404949630541
2022-01-22,335ad945324c3a2e,cddd3d4febe097f8,792be9a24df82ed6,aa72b0f831d0bfe5,Brandon Moreno,Deiveson Figueiredo,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.587290828706279,0.58143937632878,0.570751565974257,0.604245639276479,0.608913567814079,0.600975885320846,0.628518062925344
2022-01-22,335ad945324c3a2e,e786542667fdecf0,787bb1f087ccff8a,8d03ce87ca14e778,Ciryl Gane,Francis Ngannou,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.649007786209431,0.635780020340052,0.691502463590832,0.700993694312046,0.69693285073181,0.653373168144916,0.620278894399968
2022-02-05,883922e5cd6d8473,0489b42ac0ab6d4b,147e70aa6cc48cfc,f626118b6da0e020,Tresean Gore,Bryan Battle,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.399021026207619,0.396262091557562,0.399066499108072,0.392333432146195,0.435411783714619,0.439768132148711,0.475038867662747
2022-02-05,883922e5cd6d8473,0730c4e6fb247fa1,2f181c0467965b98,d156513a19acf856,Brendan Allen,Sam Alvey,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.740356295973739,0.727370030212098,0.64611887724547,0.754375408520677,0.711283436492993,0.689568369152929,0.714232695228552
2022-02-05,883922e5cd6d8473,1765fc442ea03873,2526be54e6a0e62a,dee294e9717012c2,Denys Bondar,Malcolm Gordon,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.548091974633519,0.538497066269711,0.531997746155398,0.554325369608595,0.528755722889212,0.529668812264028,0.501304764017637
2022-02-05,883922e5cd6d8473,208c5dc52ccfd47a,902ec2cc48c8ae8a,b93c06d09d1c4ac0,Julian Erosa,Steven Peterson,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.494142556218422,0.504109340003672,0.520087999394885,0.486161566538659,0.492478472679586,0.501720395723383,0.505152040558499
2022-02-05,883922e5cd6d8473,342779192b116314,5f3805dda9661cba,8e382b585a92affe,Jason Witt,Phil Rowe,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.429722414565801,0.430021999829272,0.438063099885028,0.438449004766173,0.433739496290521,0.445175720137526,0.420456205370348
