date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,current_logistic_probability,previous_bayesian_probit_probability,bayesian_logistic_probability,bayesian_logistic_lower_probability,bayesian_logistic_upper_probability,selected_logistic_bayesian_blend_probability
2023-01-21,5717efc6f271cd52,2d1ac675e6c1e6ea,c21f26bbde777573,eabf206b162b3b83,Johnny Walker,Paul Craig,1,0.510374955440562,0.498094703333593,0.534887475183349,0.425912724380804,0.631709720606614,0.52377900366235
2023-01-21,5717efc6f271cd52,0221982930283140,6a1901c62ab3870f,729d4bd5a6cd0a97,Jessica Andrade,Lauren Murphy,1,0.77245488818756,0.857718573391062,0.81720062955252,0.723663036822799,0.890493444585261,0.797799147673053
2023-01-21,5717efc6f271cd52,1c51f405e5c46572,23024fdfc966410a,84b3e7d38f2d2ec5,Gilbert Burns,Neil Magny,1,0.43383826817204,0.526601577581682,0.442448273180472,0.350293651591651,0.542962286479641,0.438536995761225
2023-01-21,5717efc6f271cd52,0462bcc27498f7c4,792be9a24df82ed6,aa72b0f831d0bfe5,Brandon Moreno,Deiveson Figueiredo,1,0.577374601928089,0.584775536480584,0.589781437583354,0.507377351838611,0.668849072742099,0.584165160995864
2023-01-21,5717efc6f271cd52,dde7d29cc443e263,5444c5a201d3ee5a,7ff97850e8c32bda,Jamahal Hill,Glover Teixeira,1,0.594666606799724,0.639614493872177,0.62957705678965,0.525223549728746,0.728964544535628,0.613880382382803
2023-02-04,d26394fc0e8e880a,a26ca06cce403ce2,4461d7e47375a895,c051c2e12d692b8a,Tatsuro Taira,Jesus Aguilar,1,0.786853688467081,0.785520576653973,0.80585121899973,0.752643902596368,0.853331443895941,0.79739494553988
2023-02-04,d26394fc0e8e880a,983fab4080743ed0,0112352cb32f5026,285ae0b4a68221f4,Denis Tiuliulin,JunYong Park,0,0.372628652401895,0.413853609537938,0.377003409814188,0.309109912916113,0.452107191206547,0.375015891604962
2023-02-04,d26394fc0e8e880a,98094a500529d442,adccbc19b22e19af,b671bdf981ad527d,SeungGuk Choi,HyunSung Park,0,0.500559634750646,0.499229911575421,0.500330898487091,0.489930924047443,0.510204596109071,0.500434684399506
2023-02-04,d26394fc0e8e880a,a8067e65eb737a09,148bb103cfbf123e,d8c811df0386d5e8,Toshiomi Kazama,Rinya Nakamura,0,0.535355384229117,0.536022830091591,0.543597408282604,0.534615502359449,0.55261621816092,0.539860388893399
2023-02-04,d26394fc0e8e880a,765482eb58e8db48,3f11fd1751fa83b1,d008d785f6347dc2,Yizha,JeongYeong Lee,0,0.495000890669063,0.496441087916347,0.497803566855965,0.478613037927212,0.516597961474126,0.496531863940281
