date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,current_logistic_probability,global_moderate_raw_probability,global_moderate_probability,grouped_tight_raw_probability,grouped_tight_probability,grouped_moderate_raw_probability,grouped_moderate_probability,grouped_weak_raw_probability,grouped_weak_probability,grouped_heavy_tailed_raw_probability,grouped_heavy_tailed_probability,selected_logistic_bayesian_blend_probability
2019-01-19,d4da8995fc91e7ef,e76227f395b94e47,1ddb480b601cefb1,bb61823f76361297,Chance Rencountre,Kyle Stewart,1,0.474406809794188,0.47310817999688,0.477941556235108,0.448538223493356,0.4541079619098,0.468549438848422,0.474164781100795,0.484400386102336,0.487944632606394,0.460002556145084,0.465565186572231,0.463303471301303
2019-01-19,d4da8995fc91e7ef,2cc1fe3570999428,b1b0729d27936f2f,b997be68943010fc,Belal Muhammad,Geoff Neal,0,0.545098436612748,0.542955995555319,0.535252661794999,0.532034008011927,0.528554182555979,0.540392158845686,0.533189625576916,0.545406648501682,0.535124607901613,0.535801590848148,0.530819093683107,0.536070889024764
2019-01-19,d4da8995fc91e7ef,2ea1f463620bcd3d,6f242453c91a5af0,ef44e4ea9050f2ea,Dennis Bermudez,Te Edwards,1,0.78737272226497,0.778223600934599,0.736797740365894,0.751616311861939,0.728434288086865,0.768038125924393,0.727718414783935,0.774227714978205,0.721562628468313,0.761153635135088,0.73052183794359,0.756393678999128
2019-01-19,d4da8995fc91e7ef,efbab76bedbfb65d,65f09bacd3957381,bc711b6dd95c1af6,Cory Sandhagen,Mario Bautista,1,0.608087873179644,0.605930068984964,0.587295570546397,0.604591181847859,0.593486694006636,0.604434574842617,0.58616365216262,0.607475164514939,0.583570017657576,0.607743617192742,0.593085700700971,0.600133940715772
2019-01-19,d4da8995fc91e7ef,8a9c8f1d53d8c664,a495f599e787614f,acb36c908d415c4a,Alonzo Menifield,Vinicius Moreira,1,0.497679177381498,0.497452445674807,0.497910982547442,0.503815760837094,0.503400312692134,0.500313604473259,0.50025750116987,0.497882352260583,0.498363693819309,0.502542249404384,0.502187478060468,0.500804447714259
2019-01-19,d4da8995fc91e7ef,77c6a6f33289b872,12f91bfa8f1f723b,6551c64fbcd1a467,Joanne Wood,Ariane da Silva,1,0.300729207736464,0.308503197208798,0.340324389877034,0.306200199823767,0.325439197249579,0.29816060443079,0.331164610078326,0.293285723886368,0.336356877806341,0.302132412057051,0.327318994038133,0.314095924728223
2019-01-19,d4da8995fc91e7ef,3dd0951b8855137d,1d00756835ca67c9,262a7d06203657e6,Donald Cerrone,Alexander Hernandez,1,0.359253358051792,0.37061517168583,0.393110018828709,0.376851956147791,0.38979541232831,0.359159502684051,0.383331992161863,0.338805053062559,0.373637235872784,0.364003499330973,0.382215434837159,0.375813809733999
2019-01-19,d4da8995fc91e7ef,5d1f24e034772338,37d5b176d438d2a5,7ff97850e8c32bda,Karl Roberson,Glover Teixeira,0,0.621038022517389,0.616307703100764,0.595946984874156,0.635002419617945,0.620918081967178,0.628407673390671,0.60620793910599,0.619537713839767,0.593090728219368,0.632952439112388,0.615114223685807,0.620972505151805
2019-01-19,d4da8995fc91e7ef,7ddd21d48e3b34b9,01784fbc27c68b14,4d5197f331c47290,Rachael Ostovich,Paige VanZant,0,0.627733677786917,0.619085401502056,0.598267377219329,0.584232603470494,0.575208719783839,0.611677125076758,0.592203452614346,0.651723403346216,0.618736925149799,0.596964026185429,0.583707201940693,0.599329409913199
2019-01-19,d4da8995fc91e7ef,4738cd4cd8d33eeb,80eacd4da0617c57,f53c1f4ceeed8c08,Joseph Benavidez,Dustin Ortiz,1,0.433635441998564,0.441332412085282,0.451819531292451,0.48617198882674,0.487676941816067,0.446918020766621,0.456360750208185,0.416818402465041,0.435484391913943,0.466001440594388,0.470734288670808,0.463043799895872
