date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,evaluation_year,training_start,training_through,selected_c,calibration_slope,current_model_probability,selected_rankings_probability,all_rankings_probability,expanded_history_probability,expanded_history_features_changed,expanded_history_all_rankings_probability,market_probability,book_count,fixed_equal_logit_blend_probability,blend_probability,blend_status,selected_gamma
2022-01-22,335ad945324c3a2e,80f65ee9b6f8d63b,0fd5f4b838e890cc,bf7ad5628363eec9,Said Nurmagomedov,Cody Stamann,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.543138316342546,0.547370364254135,0.554006593149814,0.599567943813173,True,0.595492950634921,,,,,,
2022-01-22,335ad945324c3a2e,9687021e5c4d092a,601964f9654f911a,72ea1984c52019b5,Tony Gravely,Saimon Oliveira,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.550438769433843,0.552806571585448,0.53653824388381,0.490580255393827,True,0.47227052553518,,,,,,
2022-01-22,335ad945324c3a2e,cddd3d4febe097f8,792be9a24df82ed6,aa72b0f831d0bfe5,Brandon Moreno,Deiveson Figueiredo,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.587290828706279,0.637243652326666,0.680769813916534,0.525246702311834,True,0.627233748460293,,,,,,
2022-01-22,335ad945324c3a2e,e786542667fdecf0,787bb1f087ccff8a,8d03ce87ca14e778,Ciryl Gane,Francis Ngannou,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.649007786209431,0.55494358104977,0.550385427275259,0.649645735620594,True,0.548107552046761,,,,,,
2022-02-05,883922e5cd6d8473,0489b42ac0ab6d4b,147e70aa6cc48cfc,f626118b6da0e020,Tresean Gore,Bryan Battle,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.399021026207619,0.400516637797159,0.409752593365068,0.365353477542049,True,0.375829912543809,,,,,,
2022-02-05,883922e5cd6d8473,0730c4e6fb247fa1,2f181c0467965b98,d156513a19acf856,Brendan Allen,Sam Alvey,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.740356295973739,0.731830957859983,0.703492454080961,0.729572639228692,True,0.703093516494886,,,,,,
2022-02-05,883922e5cd6d8473,1765fc442ea03873,2526be54e6a0e62a,dee294e9717012c2,Denys Bondar,Malcolm Gordon,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.548091974633519,0.543957022614759,0.544536537153704,0.540958984854515,True,0.549314748852165,,,,,,
2022-02-05,883922e5cd6d8473,208c5dc52ccfd47a,902ec2cc48c8ae8a,b93c06d09d1c4ac0,Julian Erosa,Steven Peterson,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.494142556218422,0.493438350628906,0.47954018567798,0.516484087857522,True,0.502359277923676,,,,,,
2022-02-05,883922e5cd6d8473,342779192b116314,5f3805dda9661cba,8e382b585a92affe,Jason Witt,Phil Rowe,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.429722414565801,0.43029073208755,0.420371979702402,0.435319540221205,True,0.42522744845216,,,,,,
2022-02-05,883922e5cd6d8473,4b67a1875390e7ad,0a1942069c9ad6b6,0d8011111be000b2,Jack Hermansson,Sean Strickland,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.383545877208548,0.392248978986124,0.41735729415909,0.412031679464506,True,0.431715980175405,,,,,,
2022-02-05,883922e5cd6d8473,673ed36fa5c12d5f,4c2d90e335e6df19,a78a87d8c2bbb1cb,Alexis Davis,Julija Stoliarenko,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.573799750664707,0.57354410348128,0.618890312100097,0.662261951888314,True,0.684516466235843,,,,,,
2022-02-05,883922e5cd6d8473,6b4c2cc27855506a,01afe0916a40c7c5,a53d30163304aa6e,Shavkat Rakhmonov,Carlston Harris,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.609303638886546,0.603814748432898,0.58001341701381,0.616324695527224,True,0.60467272973287,,,,,,
2022-02-05,883922e5cd6d8473,84ebbad426d25713,2c9d00968f818270,5bf31a46becc1204,Hakeem Dawodu,Michael Trizano,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.564569763022088,0.562036213337249,0.542786660205532,0.628220474375467,True,0.602828200234863,,,,,,
2022-02-05,883922e5cd6d8473,ace166f26c2ac2e8,12585614e0ed2626,64facb6cc564262d,Nick Maximov,Punahele Soriano,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.51029605978278,0.51249193768685,0.538969978267656,0.403285002169371,True,0.447554981158182,,,,,,
2022-02-05,883922e5cd6d8473,c816a969cb001168,46e0d677f91bacc0,5fa2974cbd18e05c,Miles Johns,John Castaneda,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.677342989748601,0.677225995475182,0.665398776726703,0.658689986222611,True,0.655428416539094,,,,,,
2022-02-05,883922e5cd6d8473,e82f15afac3dac93,41e83a89929d1327,687c15b2eddfaa63,Jailton Almeida,Danilo Marques,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.410722061791196,0.408434293343387,0.419695800034313,0.518312771938779,True,0.52972955576078,,,,,,
2022-02-05,883922e5cd6d8473,f9ab966e63968c15,8e9eb3fc86db0f7d,c68c68efaa5ca6ef,Marc-Andre Barriault,Chidi Njokuani,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.588557490048421,0.588736098150119,0.571556989717447,0.537043863037624,True,0.53437634700419,,,,,,
2022-02-12,cbb682f5fcc44bfc,18a1617ee7356352,13a0275fa13c4d26,b1a3e0aca758b322,Jared Cannonier,Derek Brunson,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.323150503013799,0.332527009099419,0.388036996842524,0.330477460678815,True,0.384925000017004,,,,,,
2022-02-12,cbb682f5fcc44bfc,19e742ccaa09cf08,c0386644627a7ee5,e7e01e266a9d4342,Mana Martinez,Ronnie Lawrence,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.293965708443875,0.29584698070612,0.307030233227882,0.245042983578635,True,0.26122472655516,,,,,,
2022-02-12,cbb682f5fcc44bfc,238832b58a66ae07,262a7d06203657e6,b6452706b373eea1,Alexander Hernandez,Renato Moicano,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.571034137889971,0.569411819067392,0.511754596830199,0.595843337358094,True,0.542952328974694,,,,,,
2022-02-12,cbb682f5fcc44bfc,388adad23aaa9d39,887961364be5ceb3,b7b84ccd221be298,King Green,Nasrat Haqparast,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.446571199077031,0.443497369070878,0.473964501000719,0.44143637984595,True,0.468501322827722,,,,,,
2022-02-12,cbb682f5fcc44bfc,3bebd99d5f94bec7,78a68f1dade6aaf7,9014c02eff8b3d62,Fabio Cherant,Carlos Ulberg,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.449772507661296,0.455155525163319,0.459333894903234,0.38607138318412,True,0.39752587216336,,,,,,
2022-02-12,cbb682f5fcc44bfc,507080ccded73591,9edf2c9082cc2cd8,d66a46de8d705353,Blood Diamond,Jeremiah Wells,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.439979865959268,0.440536128318457,0.459327377868817,0.436947313060362,True,0.453049381646054,,,,,,
2022-02-12,cbb682f5fcc44bfc,6708f3a32861038a,5da33b8fbfa5ee95,950d0ef5c17157c5,William Knight,Maxim Grishin,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.583203155859621,0.57907699417672,0.559893601032235,0.510816334079765,True,0.517456681353567,,,,,,
2022-02-12,cbb682f5fcc44bfc,81c22cfa22002ea4,2b68d9f125d07b42,3738e68d2261e60f,Jared Vanderaa,Andrei Arlovski,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.46367949375678,0.467734821911343,0.443625635210947,0.516741713823108,True,0.498202822545649,,,,,,
2022-02-12,cbb682f5fcc44bfc,821bef3a3394dd96,2f6a993c7f547c13,3a314d9fa7c6825d,Sergey Morozov,Douglas Silva de Andrade,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.630893909008424,0.633047145291971,0.63167314755158,0.685292603629254,True,0.673322039361496,,,,,,
2022-02-12,cbb682f5fcc44bfc,a0ba726da4a50458,2804ce8dadab5770,60425d07ef4b91a7,Marcelo Rojo,Kyler Phillips,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.135268136403072,0.137387350010227,0.159377810151137,0.125513755880064,True,0.140990582689024,,,,,,
