date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,current_logistic_probability,division,division_group,group_model_probability,group_model_status,global_only_probability,shared_pooling_weight_probability,group_specific_pooling_weights_probability,fully_separate_groups_probability
2023-01-14,2e2cdb6e9eb84bb9,b6723b9c6ff4d594,09e62c450e754913,814e5233e2acf2ee,Jimmy Flick,Charles Johnson,0,0.460654683055169,Flyweight,mens_below_welterweight,0.486766275346431,separate_group_model,0.460654683055169,0.473692492581972,0.467167982721538,0.486766275346431
2023-01-14,2e2cdb6e9eb84bb9,9f09e77e46f15766,0978385b2bd9ef9b,e4ba58725825412d,Nick Aguirre,Dan Argueta,0,0.571853652571312,Featherweight,mens_below_welterweight,0.576651478558656,separate_group_model,0.571853652571312,0.574254313381855,0.573054413185715,0.576651478558656
2023-01-14,2e2cdb6e9eb84bb9,c9144a294c73b06f,253076a23d03dcd0,798e48f9e7f6ba22,Allan Nascimento,Carlos Hernandez,1,0.473240040172007,Flyweight,mens_below_welterweight,0.378294771363969,separate_group_model,0.473240040172007,0.425076633661712,0.449038883727959,0.378294771363969
2023-01-14,2e2cdb6e9eb84bb9,76b6058cddda9238,036e96c1c12b8a59,849c5d9979df5357,Nick Fiore,Mateusz Rebecki,0,0.60920174368581,Lightweight,mens_below_welterweight,0.603755165705854,separate_group_model,0.60920174368581,0.606481763563853,0.607842590402465,0.603755165705854
2023-01-14,2e2cdb6e9eb84bb9,5305049e4215d263,972c456ff38b2015,eae431e70064e046,Claudio Ribeiro,Abdul Razak Alhassan,0,0.553633492962043,Middleweight,mens_welter_to_middle,0.626409572190461,separate_group_model,0.553633492962043,0.590517095859875,0.553633492962043,0.626409572190461
2023-01-14,2e2cdb6e9eb84bb9,5a2fa552e70958d4,48812daf291a4e23,bbab3baf66128ae2,Mateus Mendonca,Javid Basharat,0,0.321101767445916,Bantamweight,mens_below_welterweight,0.319485711333517,separate_group_model,0.321101767445916,0.320293200440477,0.320697349419119,0.319485711333517
2023-01-14,2e2cdb6e9eb84bb9,a4c7d59d340794c0,2b6fc1c02736833d,b9f28e7045fdfce7,Umar Nurmagomedov,Raoni Barcelos,1,0.832878903225826,Bantamweight,mens_below_welterweight,0.849415406451048,separate_group_model,0.832878903225826,0.841321865040102,0.837144449296129,0.849415406451048
2023-01-14,2e2cdb6e9eb84bb9,622cc4ef46913020,b9706f80d005036c,fc169c387b4b465d,Ketlen Vieira,Raquel Pennington,0,0.391256170417324,Women's Bantamweight,womens_all,0.459426473650529,separate_group_model,0.391256170417324,0.424984723184984,0.424984723184984,0.459426473650529
2023-01-14,2e2cdb6e9eb84bb9,d4420be78065de03,64facb6cc564262d,9d83f6da776ff7d6,Punahele Soriano,Roman Kopylov,0,0.645854337547901,Middleweight,mens_welter_to_middle,0.562788349495008,separate_group_model,0.645854337547901,0.605079638520874,0.645854337547901,0.562788349495008
2023-01-14,2e2cdb6e9eb84bb9,c88a7dbe7717d2da,29af297d9f1de0f8,82a5152216251682,Damon Jackson,Dan Ige,0,0.527633739193577,Featherweight,mens_below_welterweight,0.458437287600257,separate_group_model,0.527633739193577,0.493001999394371,0.510330264257405,0.458437287600257
