event_id,matchup_id,fighter_name,opponent_name,selection,scheduled_rounds,raw_probability,raw_expected_return,calibrated_mean_probability,recommended_fraction,model_id
2144954270be834d,matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,Dan Hooker,Salahdine Parnasse,Over 3.5 rounds,5,0.7790103490210136,1.4305122889455624,0.7029649881974955,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,Dan Hooker,Salahdine Parnasse,Over 2.5 rounds,5,0.8429376274832738,0.8544627804632026,0.7414535421367465,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_28fea7b40a742271baa73e0e4459f1d5777e4498f310623c111e7397e38f7183,Matthieu Duclos,Luis Felipe Dias,Over 1.5 rounds,3,0.6826153456050497,0.46762299305085686,0.642482830426477,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_5ba9978871b848d5b7445f82c33ad8b233afd688c6347983e72b3aec7be3e696,Nathaniel Wood,Pavel Andrusca,Under 2.5 rounds,3,0.5678962666990528,0.39134585341267925,0.5430521041547641,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell,Trevor Peek,Over 2.5 rounds,3,0.6275644867603729,0.38064187087282053,0.5816213837151738,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_c6f99d827d99147ec40154996f5cd9c439402f8c1fe7b0c6d927bd3c81990c61,Delphine Benouaich,Sofia Montenegro,Under 2.5 rounds,3,0.44184081682171694,0.3343592668015851,0.4631564730358666,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto,Ryan Spann,Over 1.5 rounds,3,0.6160673917764953,0.29374152273064014,0.5895544356013408,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_1fce52baf78bc8d3d8b338f10139cc7aeb18fe188c5bae17140a9dcc62f262e6,Nora Cornolle,Klaudia Sygula,Under 2.5 rounds,3,0.43038227299969145,0.23089330077911763,0.4558483730193864,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell,Trevor Peek,Over 1.5 rounds,3,0.7524024830566337,0.1949921789723006,0.7005715679545752,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Fares Ziam,Axel Sola,Under 2.5 rounds,3,0.39214956654142863,0.1333122473047288,0.4312428189772434,0.05,bd1db787d30a1c429d044b45
2144954270be834d,matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Oumar Sy,Modestas Bukauskas,Under 2.5 rounds,3,0.47107138907760415,0.05991062542460934,0.48170915647148266,0.05,bd1db787d30a1c429d044b45
