date,fight_url,event_url,fighter_url,opponent_url,fighter,opponent,result,method,division,round,time,time_format,total_fight_time,source_card_index,bout_order,emit_training_target,history_source,knockdowns,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,takedowns_landed,takedowns_attempts,sub_attempts,reversals,control
2009-04-03,https://external-mma.invalid/fight-details/external_7d3c90b376151271aecb2121dc351a9e,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_6b165a57b9153df8233288c3,https://external-mma.invalid/fighter-details/external_0191a86af079d302fefdd13a,Toby Imada,Alonzo Martinez,W,SUB,Unknown,1.0,,,,5,5,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_c5d2f1c20c43821166daebe71e8ccf15,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_3500ddd9afe2060d24a320b9,https://external-mma.invalid/fighter-details/a4e85a58fbce64b2,Ben Greer,Joe Soto,L,KO/TKO,Unknown,1.0,,,,4,6,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_c5d2f1c20c43821166daebe71e8ccf15,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/a4e85a58fbce64b2,https://external-mma.invalid/fighter-details/external_3500ddd9afe2060d24a320b9,Joe Soto,Ben Greer,W,KO/TKO,Unknown,1.0,,,,4,6,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_1befb3b7987ab095f910d13ac68b7cf8,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/d0a5ef38a7778ac2,https://external-mma.invalid/fighter-details/external_1f37f6e0ced0b29c359a23a1,Estevan Payan,Luis Palomino,W,S-DEC,Unknown,3.0,,,,3,7,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_1befb3b7987ab095f910d13ac68b7cf8,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_1f37f6e0ced0b29c359a23a1,https://external-mma.invalid/fighter-details/d0a5ef38a7778ac2,Luis Palomino,Estevan Payan,L,S-DEC,Unknown,3.0,,,,3,7,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_6b5682d69dc8e9ef6be85162a1e9de7a,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_29aed9ecc17f1f8cf82f6d25,https://external-mma.invalid/fighter-details/external_ace4195d7b814237a99a9b62,Nick Gonzalez,Yahir Reyes,L,SUB,Unknown,1.0,,,,2,8,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_6b5682d69dc8e9ef6be85162a1e9de7a,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_ace4195d7b814237a99a9b62,https://external-mma.invalid/fighter-details/external_29aed9ecc17f1f8cf82f6d25,Yahir Reyes,Nick Gonzalez,W,SUB,Unknown,1.0,,,,2,8,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_54343762d2e578ff4d5ac2f1140235a0,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/33a331684283900f,https://external-mma.invalid/fighter-details/external_cd2c7d953e9b967e613d2ea8,Eddie Alvarez,Greg Loughran,W,SUB,Unknown,1.0,,,,1,9,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_54343762d2e578ff4d5ac2f1140235a0,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_cd2c7d953e9b967e613d2ea8,https://external-mma.invalid/fighter-details/33a331684283900f,Greg Loughran,Eddie Alvarez,L,SUB,Unknown,1.0,,,,1,9,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_63ba8e39d77c35152bb7e1e01030ea71,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/47b9e0e7703a4868,https://external-mma.invalid/fighter-details/ebc5af72ad5a28cb,Jorge Masvidal,Nick Agallar,W,KO/TKO,Unknown,1.0,,,,0,10,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_63ba8e39d77c35152bb7e1e01030ea71,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/ebc5af72ad5a28cb,https://external-mma.invalid/fighter-details/47b9e0e7703a4868,Nick Agallar,Jorge Masvidal,L,KO/TKO,Unknown,1.0,,,,0,10,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_80399578e1c43b9b40eddf865542787c,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/9c907996820d2d69,https://external-mma.invalid/fighter-details/6ded9184b2284645,Jimmie Rivera,Willie Gates,W,SUB,Unknown,3.0,,,,8,0,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_80399578e1c43b9b40eddf865542787c,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/6ded9184b2284645,https://external-mma.invalid/fighter-details/9c907996820d2d69,Willie Gates,Jimmie Rivera,L,SUB,Unknown,3.0,,,,8,0,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_3b8b1a76136f66f67791a39a933141fc,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_c9c1f71d7d1cdb8f11283cbd,https://external-mma.invalid/fighter-details/external_d2746911751c2e36242235a3,Aaron Tregear,Matt Makowski,L,U-DEC,Unknown,3.0,,,,7,1,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_3b8b1a76136f66f67791a39a933141fc,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_d2746911751c2e36242235a3,https://external-mma.invalid/fighter-details/external_c9c1f71d7d1cdb8f11283cbd,Matt Makowski,Aaron Tregear,W,U-DEC,Unknown,3.0,,,,7,1,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
