timing,market,staking,payout_reduction,selected_records,shown_settled_records,funded_settled_bets,pending_records,unsupported_records,funded_wins,funded_losses,settled_events,initial_bankroll,ending_bankroll,bankroll_growth,risk_units,profit_units,roi,maximum_drawdown_fraction
official_t24,All,full_kelly,0,2,2,2,0,0,0,2,1,100,97.49838453170202,-0.025016154682979796,2.5016154682979836,-2.5016154682979845,-1.0000000000000004,0.025016154682979845
official_t24,All,full_kelly,0.02,2,2,2,0,0,0,2,1,100,97.49838453170202,-0.025016154682979796,2.5016154682979836,-2.5016154682979845,-1.0000000000000004,0.025016154682979845
official_t24,All,full_kelly,0.05,2,2,2,0,0,0,2,1,100,97.49838453170202,-0.025016154682979796,2.5016154682979836,-2.5016154682979845,-1.0000000000000004,0.025016154682979845
official_t24,All,half_kelly,0,2,2,2,0,0,0,2,1,100,98.74919226585101,-0.012508077341489954,1.2508077341489918,-1.2508077341489923,-1.0000000000000004,0.012508077341489923
official_t24,All,half_kelly,0.02,2,2,2,0,0,0,2,1,100,98.74919226585101,-0.012508077341489954,1.2508077341489918,-1.2508077341489923,-1.0000000000000004,0.012508077341489923
official_t24,All,half_kelly,0.05,2,2,2,0,0,0,2,1,100,98.74919226585101,-0.012508077341489954,1.2508077341489918,-1.2508077341489923,-1.0000000000000004,0.012508077341489923
official_t24,All,third_kelly,0,2,2,2,0,0,0,2,1,100,99.166128177234,-0.00833871822765997,0.8338718227659946,-0.8338718227659996,-1.000000000000006,0.008338718227659995
official_t24,All,third_kelly,0.02,2,2,2,0,0,0,2,1,100,99.166128177234,-0.00833871822765997,0.8338718227659946,-0.8338718227659996,-1.000000000000006,0.008338718227659995
official_t24,All,third_kelly,0.05,2,2,2,0,0,0,2,1,100,99.166128177234,-0.00833871822765997,0.8338718227659946,-0.8338718227659996,-1.000000000000006,0.008338718227659995
official_t24,All,flat_one_percent,0,2,2,2,0,0,0,2,1,100,98,-0.020000000000000018,2,-2,-1,0.02
official_t24,All,flat_one_percent,0.02,2,2,2,0,0,0,2,1,100,98,-0.020000000000000018,2,-2,-1,0.02
official_t24,All,flat_one_percent,0.05,2,2,2,0,0,0,2,1,100,98,-0.020000000000000018,2,-2,-1,0.02
official_t24,All,robust_bayesian_kelly,0,2,2,0,0,0,0,0,1,100,100,0,0,0,,0
official_t24,All,robust_bayesian_kelly,0.02,2,2,0,0,0,0,0,1,100,100,0,0,0,,0
official_t24,All,robust_bayesian_kelly,0.05,2,2,0,0,0,0,0,1,100,100,0,0,0,,0
official_t24,All,half_kelly_model_blend,0,2,2,2,0,0,0,2,1,100,86.97488118466717,-0.13025118815332837,13.025118815332831,-13.025118815332831,-1,0.1302511881533283
official_t24,All,half_kelly_model_blend,0.02,2,2,2,0,0,0,2,1,100,86.97488118466717,-0.13025118815332837,13.025118815332831,-13.025118815332831,-1,0.1302511881533283
official_t24,All,half_kelly_model_blend,0.05,2,2,2,0,0,0,2,1,100,86.97488118466717,-0.13025118815332837,13.025118815332831,-13.025118815332831,-1,0.1302511881533283
official_t24,All,half_kelly_sim_blend,0,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,All,half_kelly_sim_blend,0.02,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,All,half_kelly_sim_blend,0.05,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,All,half_kelly_model_sim_blend,0,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,All,half_kelly_model_sim_blend,0.02,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,All,half_kelly_model_sim_blend,0.05,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,Moneyline,full_kelly,0,2,2,2,0,0,0,2,1,100,97.49838453170202,-0.025016154682979796,2.5016154682979836,-2.5016154682979845,-1.0000000000000004,0.025016154682979845
official_t24,Moneyline,full_kelly,0.02,2,2,2,0,0,0,2,1,100,97.49838453170202,-0.025016154682979796,2.5016154682979836,-2.5016154682979845,-1.0000000000000004,0.025016154682979845
official_t24,Moneyline,full_kelly,0.05,2,2,2,0,0,0,2,1,100,97.49838453170202,-0.025016154682979796,2.5016154682979836,-2.5016154682979845,-1.0000000000000004,0.025016154682979845
official_t24,Moneyline,half_kelly,0,2,2,2,0,0,0,2,1,100,98.74919226585101,-0.012508077341489954,1.2508077341489918,-1.2508077341489923,-1.0000000000000004,0.012508077341489923
official_t24,Moneyline,half_kelly,0.02,2,2,2,0,0,0,2,1,100,98.74919226585101,-0.012508077341489954,1.2508077341489918,-1.2508077341489923,-1.0000000000000004,0.012508077341489923
official_t24,Moneyline,half_kelly,0.05,2,2,2,0,0,0,2,1,100,98.74919226585101,-0.012508077341489954,1.2508077341489918,-1.2508077341489923,-1.0000000000000004,0.012508077341489923
official_t24,Moneyline,third_kelly,0,2,2,2,0,0,0,2,1,100,99.166128177234,-0.00833871822765997,0.8338718227659946,-0.8338718227659996,-1.000000000000006,0.008338718227659995
official_t24,Moneyline,third_kelly,0.02,2,2,2,0,0,0,2,1,100,99.166128177234,-0.00833871822765997,0.8338718227659946,-0.8338718227659996,-1.000000000000006,0.008338718227659995
official_t24,Moneyline,third_kelly,0.05,2,2,2,0,0,0,2,1,100,99.166128177234,-0.00833871822765997,0.8338718227659946,-0.8338718227659996,-1.000000000000006,0.008338718227659995
official_t24,Moneyline,flat_one_percent,0,2,2,2,0,0,0,2,1,100,98,-0.020000000000000018,2,-2,-1,0.02
official_t24,Moneyline,flat_one_percent,0.02,2,2,2,0,0,0,2,1,100,98,-0.020000000000000018,2,-2,-1,0.02
official_t24,Moneyline,flat_one_percent,0.05,2,2,2,0,0,0,2,1,100,98,-0.020000000000000018,2,-2,-1,0.02
official_t24,Moneyline,robust_bayesian_kelly,0,2,2,0,0,0,0,0,1,100,100,0,0,0,,0
official_t24,Moneyline,robust_bayesian_kelly,0.02,2,2,0,0,0,0,0,1,100,100,0,0,0,,0
official_t24,Moneyline,robust_bayesian_kelly,0.05,2,2,0,0,0,0,0,1,100,100,0,0,0,,0
official_t24,Moneyline,half_kelly_model_blend,0,2,2,2,0,0,0,2,1,100,86.97488118466717,-0.13025118815332837,13.025118815332831,-13.025118815332831,-1,0.1302511881533283
official_t24,Moneyline,half_kelly_model_blend,0.02,2,2,2,0,0,0,2,1,100,86.97488118466717,-0.13025118815332837,13.025118815332831,-13.025118815332831,-1,0.1302511881533283
official_t24,Moneyline,half_kelly_model_blend,0.05,2,2,2,0,0,0,2,1,100,86.97488118466717,-0.13025118815332837,13.025118815332831,-13.025118815332831,-1,0.1302511881533283
official_t24,Moneyline,half_kelly_sim_blend,0,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,Moneyline,half_kelly_sim_blend,0.02,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,Moneyline,half_kelly_sim_blend,0.05,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,Moneyline,half_kelly_model_sim_blend,0,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,Moneyline,half_kelly_model_sim_blend,0.02,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,Moneyline,half_kelly_model_sim_blend,0.05,2,0,0,0,2,0,0,0,100,100,0,0,0,,0
official_t24,Total rounds,full_kelly,0,0,0,0,0,0,0,0,0,100,100,0,0,0,,0
official_t24,Total rounds,full_kelly,0.02,0,0,0,0,0,0,0,0,100,100,0,0,0,,0
official_t24,Total rounds,full_kelly,0.05,0,0,0,0,0,0,0,0,100,100,0,0,0,,0
