bet_id,matchup_id,category,selection,published_book,available_book,offered_moneyline,estimated_win_probability,estimated_expected_return,threshold_met,comparison_book_count,source_quote_updated_at_utc,different_from_published_book,eligibility_basis
cbe9992fbe4b4f5905f9e772412877951afc30f3c3ff4c114ed0875a36d77d02,matchup_c6f99d827d99147ec40154996f5cd9c439402f8c1fe7b0c6d927bd3c81990c61,Total rounds,Under 2.5 rounds,BetUS,DraftKings,195,0.44184081682171694,0.303430409624065,True,4,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
cbe9992fbe4b4f5905f9e772412877951afc30f3c3ff4c114ed0875a36d77d02,matchup_c6f99d827d99147ec40154996f5cd9c439402f8c1fe7b0c6d927bd3c81990c61,Total rounds,Under 2.5 rounds,BetUS,BetOnline.ag,196,0.44184081682171694,0.30784881779228224,True,4,2026-09-04T17:26:25.000000Z,True,same published selection; fresh saved prices; raw policy EV
cbe9992fbe4b4f5905f9e772412877951afc30f3c3ff4c114ed0875a36d77d02,matchup_c6f99d827d99147ec40154996f5cd9c439402f8c1fe7b0c6d927bd3c81990c61,Total rounds,Under 2.5 rounds,BetUS,BetUS,202,0.44184081682171694,0.3343592668015851,True,4,2026-09-04T17:26:17.000000Z,False,same published selection; fresh saved prices; raw policy EV
fc08f5539c8e11dfcc18a3e5ea7dc0ad62f2b836ac2f799cecc76db334e373fd,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Total rounds,Over 1.5 rounds,BetOnline.ag,BetUS,110,0.6160673917764953,0.29374152273064014,True,4,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
fc08f5539c8e11dfcc18a3e5ea7dc0ad62f2b836ac2f799cecc76db334e373fd,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Total rounds,Over 1.5 rounds,BetOnline.ag,DraftKings,105,0.6160673917764953,0.2629381531418151,True,4,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
fc08f5539c8e11dfcc18a3e5ea7dc0ad62f2b836ac2f799cecc76db334e373fd,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Total rounds,Over 1.5 rounds,BetOnline.ag,Bovada,105,0.6160673917764953,0.2629381531418151,True,4,2026-09-04T17:23:47.000000Z,True,same published selection; fresh saved prices; raw policy EV
fc08f5539c8e11dfcc18a3e5ea7dc0ad62f2b836ac2f799cecc76db334e373fd,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Total rounds,Over 1.5 rounds,BetOnline.ag,BetOnline.ag,110,0.6160673917764953,0.29374152273064014,True,4,2026-09-04T17:26:25.000000Z,False,same published selection; fresh saved prices; raw policy EV
fc08f5539c8e11dfcc18a3e5ea7dc0ad62f2b836ac2f799cecc76db334e373fd,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Total rounds,Over 1.5 rounds,BetOnline.ag,BetAnything,100,0.6160673917764953,0.23213478355299055,True,4,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
965dec1c615389cc94e7e21aebe340839694f8a4e29fb590b98f79314a47d8e8,matchup_1fce52baf78bc8d3d8b338f10139cc7aeb18fe188c5bae17140a9dcc62f262e6,Total rounds,Under 2.5 rounds,BetUS,Bovada,170,0.43038227299969145,0.16203213709916708,True,4,2026-09-04T17:23:47.000000Z,True,same published selection; fresh saved prices; raw policy EV
965dec1c615389cc94e7e21aebe340839694f8a4e29fb590b98f79314a47d8e8,matchup_1fce52baf78bc8d3d8b338f10139cc7aeb18fe188c5bae17140a9dcc62f262e6,Total rounds,Under 2.5 rounds,BetUS,DraftKings,165,0.43038227299969145,0.14051302344918226,True,4,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
