surface,matchup_id,selection,book,moneyline,estimated_probability,estimated_expected_return,observed_at_utc,comparison_only,on_qualified_board,price_contract_complete,settlement_status,paper_action
method_price_comparison,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Axel Sola by SUBMISSION,FanDuel,1000,0.053951980118599155,-0.40652821869540934,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Axel Sola by DECISION,FanDuel,270,0.19281276733178582,-0.2865927608723925,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Axel Sola by KO/TKO,Unibet,700,0.12608629594979115,0.008690367598329196,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Axel Sola by SUBMISSION,Unibet,950,0.053951980118599155,-0.43350420875470885,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Axel Sola by DECISION,Unibet,265,0.19281276733178582,-0.29623339923898173,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by KO/TKO,BetRivers,320,0.23260325350703542,-0.02306633527045121,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by SUBMISSION,BetRivers,2000,0.07077947358232566,0.48636894522883867,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by DECISION,BetRivers,133,0.2293337577818689,-0.46565234436824543,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by KO/TKO,BetWay,300,0.23260325350703542,-0.0695869859718583,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by SUBMISSION,BetWay,2500,0.07077947358232566,0.8402663131404671,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
