schema_version,quote_id,capture_id,matchup_id,fight_id,event_id,fighter_id,opponent_id,fighter_name,opponent_name,event_date,timing_precision,event_start_utc,observed_at_utc,quote_first_seen_at_utc,source,source_event_id,source_book_key,source_quote_updated_at_utc,source_commence_time_utc,source_quote_age_seconds,book,market,period,line,over_moneyline,under_moneyline,over_implied_probability,under_implied_probability,overround,no_vig_over_probability,source_payload_sha256
1,038efead6691cf05cdcc1f42a75ca2ef8345f72d210413960a3af0afc1d89527,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_2e7ecfa4cf636c685bb4b274cad9c799cdb45c485fc9463c9f057b014ede92e2,,9d61d8cb1c354867,9ac4e43ed56429ed,a9936818d709e2d7,Levi Rodrigues Jr.,Liu Ce,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,8efe763cfd08b280b54f56d7e2e6604f,betonlineag,2026-08-25T01:09:36.000000Z,2026-08-29T10:00:00.000000Z,30.423296,BetOnline.ag,total_rounds,full_fight,1.5,161,-185,0.3831417624521073,0.6491228070175439,1.032264569469651,0.37116624340691545,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
1,0704c61604a93293adc22a80c56bdd60ea00d87dc524c8ed48f1e238b52628de,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_fe882adb53c9e40d42c3fb9e530f1c9634fb66cf626222156d002a5014c30b56,,9d61d8cb1c354867,2b6fc1c02736833d,efb96bf3e9ada36f,Umar Nurmagomedov,Song Yadong,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,8ab8d406b097e3650cac5c1e838b262b,betus,2026-08-25T01:09:57.000000Z,2026-08-29T12:45:00.000000Z,9.423296,BetUS,total_rounds,full_fight,4.5,-225,186,0.6923076923076923,0.34965034965034963,1.0419580419580419,0.6644295302013423,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
1,0b4ac4d2fc062fee18737c16083d6fedc32bc0009cd2c7ee8a4dc00e04a08c38,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_228ab0d3e5153efa04bef071bfc37650479a59f22b1ca840ddbee8508e9fba3c,,9d61d8cb1c354867,5182316da3c1d891,bf60dd3256801649,Bilal Hasan,Nilson Rojas,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,63cc20a3709c35a89f75821805a9041f,bovada,2026-08-25T01:07:32.000000Z,2026-08-29T10:00:00.000000Z,154.423296,Bovada,total_rounds,full_fight,1.5,-155,120,0.6078431372549019,0.45454545454545453,1.0623885918003564,0.5721476510067114,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
1,18a9e757a1e23545d151cc5cc4235b1590ff112739cc5d3a6d518fcedfa2581f,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_3f9998cf552d693a33fb9a4f175d13960075bb7373e376abb8b51a1abb51b356,,9d61d8cb1c354867,c41d426cc7326d1b,cffb87059e645bd1,Yan Xiaonan,Denise Gomes,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,ed0aac84833d231a21c19eb73f0ff9fb,betus,2026-08-25T01:09:57.000000Z,2026-08-29T10:00:00.000000Z,9.423296,BetUS,total_rounds,full_fight,2.5,-285,234,0.7402597402597403,0.2994011976047904,1.0396609378645307,0.7120203455755852,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
1,19a39c61ebcb798387e3c9e714bfb037b1917034b4b5eb1aad33cc31ebcbf043,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_6d0e5bb6cd688e9b7033b078cb103003b4b3c87c7aba84890186cc0080df1d8b,,9d61d8cb1c354867,3cf18e01cb6cbde3,ab2b4ff41d6ebe0f,Sumudaerji,Alex Perez,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,8d1081fee4b7c067a44293053217ae67,betus,2026-08-25T01:09:57.000000Z,2026-08-29T10:00:00.000000Z,9.423296,BetUS,total_rounds,full_fight,2.5,105,-125,0.4878048780487805,0.5555555555555556,1.043360433604336,0.4675324675324675,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
1,1ead1c1d92de8525d30e030c39ae5b1e4bf4a6cf191a962b959ebfbee9a28f0e,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_d9b7e67887f117b7d52f7ddf124e1aec94ae0954605b34bceb2737065151e087,,9d61d8cb1c354867,2f43a3e82661fa99,34b96d52db1d26e6,Rei Tsuruya,Kevin Borjas,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,c0f2cf1fe9e78538bed4adbf0159a987,betonlineag,2026-08-25T01:09:36.000000Z,2026-08-29T10:00:00.000000Z,30.423296,BetOnline.ag,total_rounds,full_fight,2.5,110,-130,0.47619047619047616,0.5652173913043478,1.041407867494824,0.4572564612326044,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
1,21e4ecf39d5d4a03b16ca65ca42a8148b39340ba8e38776e3cd50c1326bb69ab,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_d9b7e67887f117b7d52f7ddf124e1aec94ae0954605b34bceb2737065151e087,,9d61d8cb1c354867,2f43a3e82661fa99,34b96d52db1d26e6,Rei Tsuruya,Kevin Borjas,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,c0f2cf1fe9e78538bed4adbf0159a987,bovada,2026-08-25T01:07:32.000000Z,2026-08-29T10:00:00.000000Z,154.423296,Bovada,total_rounds,full_fight,2.5,110,-145,0.47619047619047616,0.5918367346938775,1.0680272108843538,0.4458598726114649,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
1,2229f93a5921224b0e083945115a18f12c53f9e36f90a030248d95965b8aa13f,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_029f26ab659c3569314741c22d58b255c7623e8d8913641f9c4a2bdbe5972726,,9d61d8cb1c354867,34d4cae19105eb68,e0664abaa023fd6f,Cameron Nelson,Ding Meng,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,374e3ebb812a4a0ca6510a48c5095cf6,betus,2026-08-25T01:09:57.000000Z,2026-08-29T10:00:00.000000Z,9.423296,BetUS,total_rounds,full_fight,2.5,-115,-105,0.5348837209302325,0.5121951219512195,1.0470788428814521,0.5108342361863488,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
1,223d20391349ce5422e84d684227b47f28684805418f68f1d663387afcca89e2,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_2e7ecfa4cf636c685bb4b274cad9c799cdb45c485fc9463c9f057b014ede92e2,,9d61d8cb1c354867,9ac4e43ed56429ed,a9936818d709e2d7,Levi Rodrigues Jr.,Liu Ce,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,8efe763cfd08b280b54f56d7e2e6604f,draftkings,2026-08-25T01:08:42.000000Z,2026-08-29T10:00:00.000000Z,84.423296,DraftKings,total_rounds,full_fight,1.5,140,-180,0.4166666666666667,0.6428571428571429,1.0595238095238095,0.39325842696629215,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
1,24cb2f60c6b7cb18f26989e8ac55f62c9c7e4fd8567f91e06da296bdf73d9cd8,capture_20260825T011006049286Z_32796383860_1_8a58232ef6eb,matchup_389c1ce1797683bddb624227d64640e8a62ab358736501837929bd80cfa4e3fa,,9d61d8cb1c354867,4682bc59d5f55145,a9da3158dd2c2b5a,Sean Woodson,Jack Jenkins,2026-08-29,timestamp,2026-08-29T10:00:00.000000Z,2026-08-25T01:10:06.423296Z,2026-08-25T01:10:06.423296Z,the-odds-api.com,27e0e85538acefc40d052b90b4de7f98,bovada,2026-08-25T01:07:32.000000Z,2026-08-29T10:00:00.000000Z,154.423296,Bovada,total_rounds,full_fight,2.5,-190,145,0.6551724137931034,0.40816326530612246,1.0633356790992259,0.6161482461945731,af4ea2b8fa67e600ca29ab2073eb061849bccfb71cfedd4beeb648e724c4e787
