schema_version,forecast_id,policy_version,matchup_id,event_id,event_date,timing_precision,event_start_utc,fighter_id,opponent_id,fighter_name,opponent_name,forecast_issued_at_utc,source_commit_sha,experiment_sha256,training_start,training_through,training_fights,training_fingerprint_sha256,model_id,published_model_id,published_model_probability,bayesian_probability,bayesian_lower_probability,bayesian_upper_probability,frozen_blend_probability,bayesian_weight,calibration_slope,fighter_prior_fights,opponent_prior_fights,mean_chain_difference,paper_only,candidate_only,execution_enabled
1,bbd32385bb4fddb08f6f32b38b20f5320b4659d55df03b2fb596ebe00d833e8f,bayesian-logistic-blend-shadow-v1,matchup_c6f99d827d99147ec40154996f5cd9c439402f8c1fe7b0c6d927bd3c81990c61,2144954270be834d,2026-09-05,date,,3138df4d117ebc12,8b1b051038354655,Delphine Benouaich,Sofia Montenegro,2026-09-02T00:18:14.000000Z,cfd9bb7bba47fcd36e634f9ae443f30749331131,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-03,2026-08-29,4943,27f524aa150df27a647acfc7e50f23aad9d412cba31f29f945ab871452ebc183,e60fa90500184dd21744,35d1c5eb8e126b3c9563,0.5,0.5,0.5,0.5,0.5,0.5462639465757038,1.2040055844545177,0,0,0.002244511610848304,True,True,False
1,ddea79f3468f8d67ac1975307b87e8dd28e652b1a1c60519d853cde854eddbd1,bayesian-logistic-blend-shadow-v1,matchup_1fce52baf78bc8d3d8b338f10139cc7aeb18fe188c5bae17140a9dcc62f262e6,2144954270be834d,2026-09-05,date,,f2b3f4ef3f780168,9f5e3c20ce40b344,Nora Cornolle,Klaudia Sygula,2026-09-02T00:18:14.000000Z,cfd9bb7bba47fcd36e634f9ae443f30749331131,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-03,2026-08-29,4943,27f524aa150df27a647acfc7e50f23aad9d412cba31f29f945ab871452ebc183,e60fa90500184dd21744,35d1c5eb8e126b3c9563,0.34463156643160486,0.31912780529156715,0.2437751669337447,0.3995580120317449,0.33057723146788415,0.5462639465757038,1.2040055844545177,6,3,0.002244511610848304,True,True,False
1,defd992222e0531e5e797bfcac09eba46e9eac2a8dfe43b5106955c66c1d2164,bayesian-logistic-blend-shadow-v1,matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,2144954270be834d,2026-09-05,date,,193b9d1858bc4df3,b3cb9dfccff3be76,Dan Hooker,Salahdine Parnasse,2026-09-02T00:18:14.000000Z,cfd9bb7bba47fcd36e634f9ae443f30749331131,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-03,2026-08-29,4943,27f524aa150df27a647acfc7e50f23aad9d412cba31f29f945ab871452ebc183,e60fa90500184dd21744,35d1c5eb8e126b3c9563,0.889080760135086,0.9171014536840205,0.807725313877279,0.9795743663365695,0.905286941618499,0.5462639465757038,1.2040055844545177,24,0,0.002244511610848304,True,True,False
1,f08f3274a88f6af5a1c3d88b540e4e51640b191dc4cd675901ed84b7246dfa00,bayesian-logistic-blend-shadow-v1,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,2144954270be834d,2026-09-05,date,,a67d071163962af8,49d2a08964c5eb11,Michael Page,Nursulton Ruziboev,2026-09-02T00:18:14.000000Z,cfd9bb7bba47fcd36e634f9ae443f30749331131,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-03,2026-08-29,4943,27f524aa150df27a647acfc7e50f23aad9d412cba31f29f945ab871452ebc183,e60fa90500184dd21744,35d1c5eb8e126b3c9563,0.565907905042153,0.567766393873135,0.458352074890589,0.6707155018755513,0.5669233636247296,0.5462639465757038,1.2040055844545177,5,6,0.002244511610848304,True,True,False
1,1f2059e65f52e1247956cdfba86e980352183d4037999a7672732552dad61355,bayesian-logistic-blend-shadow-v1,matchup_9c495107c2bd33322a572d2016024690b02d02d2d0cc09fb890650971126b860,638cfec7ec559d6e,2026-09-12,date,,7674b836ce0698a0,312f7d7b2b2f7de4,Yousri Belgaroui,Djorden Santos,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.8921408298671283,0.8992935853893729,0.8551211296161305,0.934823926590239,0.896101828970671,0.5462639465757038,1.205319105359576,2,3,0.001991504585745865,True,True,False
1,25bbf68aa4bd820188b7c9a7c893c0f5737750b0ab4da389b486f736be75d800,bayesian-logistic-blend-shadow-v1,matchup_efc52791a801f4be7db8f27634cf0bb8892c9d043aa415db2ff02c6293d01725,638cfec7ec559d6e,2026-09-12,date,,6fd953151d981979,9f5609dba6584ab2,JJ Aldrich,Regina Tarin,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.372474790017837,0.35301156335134365,0.2848022841334168,0.4283531721172185,0.36178685297008434,0.5462639465757038,1.205319105359576,17,1,0.001991504585745865,True,True,False
1,2e284a9ab9a2498ce04af560bad63a7aa3d7db2fb3363a6799e899f7ff57cddb,bayesian-logistic-blend-shadow-v1,matchup_b464e7f36dcad5cc9c276270b36003a7ccb1aa0ec8407c2b3ef8618a633f4a75,638cfec7ec559d6e,2026-09-12,date,,34ff304266360297,e8b731feff72294b,Manon Fiorot,Alexa Grasso,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.6586839007868485,0.6494934888840281,0.5677652768004798,0.7285033492407632,0.6536777587700128,0.5462639465757038,1.205319105359576,9,15,0.001991504585745865,True,True,False
1,3e37ab878b0391c1df1bcf35a4d08c2a60d95d9dbe6453fa9c2e25ded1202dd6,bayesian-logistic-blend-shadow-v1,matchup_f3409c8960623b60db41650f26f238caea2b314befb8164c73c2b21187a7deb4,638cfec7ec559d6e,2026-09-12,date,,9a97acbfd5a08bfa,82a5152216251682,David Martinez,Dan Ige,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.7752280388997835,0.7871342990511413,0.7142440742577527,0.8513886416372362,0.7817898169891576,0.5462639465757038,1.205319105359576,3,21,0.001991504585745865,True,True,False
1,3e96f9b37e5cd8a9c407669251fabace0367f3011286654afb4c2d6497f6e2df,bayesian-logistic-blend-shadow-v1,matchup_8b54193e4f8a1587878a18998f44d167604b46e87b456e16b350cf7661b60711,638cfec7ec559d6e,2026-09-12,date,,e132d47bd9efbbe0,a13d755965a4ec9f,Rafa Garcia,Rongzhu,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.6305434806764414,0.652319584656634,0.5647352718803992,0.7327259552539107,0.6425114385962994,0.5462639465757038,1.205319105359576,11,6,0.001991504585745865,True,True,False
1,45b1237c10466686136a7d81f7b7141eb0aee46050cec5905c34409e87e2d819,bayesian-logistic-blend-shadow-v1,matchup_c64265c64920cec9a00bd1f9240a24eed73020e493f2b7d88bb0c8477a8eaf14,638cfec7ec559d6e,2026-09-12,date,,c96d9178c9ed9e62,5ef94841c4bc3f86,Tim Elliott,Edgar Chairez,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.45640186635778146,0.42534103338329976,0.3197111897606969,0.5283408511571458,0.4393765852272972,0.5462639465757038,1.205319105359576,22,7,0.001991504585745865,True,True,False
1,46cd13f6cc154bd0bea1aae9133e9a05447e55f193819992daca9ada41b97475,bayesian-logistic-blend-shadow-v1,matchup_66db0c6413cc98507cd0e1876233d66b36cf6017b3a96e40b1fd60441fcffa0f,638cfec7ec559d6e,2026-09-12,date,,52ef95b5860fb28c,7d6ceff6747f2de2,Jean Silva,Jose Delgado,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.4524940840147934,0.45932844851209326,0.38566624862345045,0.5360435157592526,0.4562253979936405,0.5462639465757038,1.205319105359576,7,5,0.001991504585745865,True,True,False
1,5ba3a7ee63e54c4f48133a113b0538c299bc14d9fadd47facaa00dd241647919,bayesian-logistic-blend-shadow-v1,matchup_937f5cfa3486c033c8191c9de80a2cc81dec1d3ce7f087edbd9121364a4239a3,638cfec7ec559d6e,2026-09-12,date,,6b0a6def604de298,6eedb757f13b9978,Tommy McMillen,Marwan Rahiki,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.6099133218569918,0.6039628483022932,0.5025199856650447,0.7065906612097191,0.6066667238032577,0.5462639465757038,1.205319105359576,2,2,0.001991504585745865,True,True,False
1,7439d09db388bacb0ed80f7b2ad2533c079c2d2b541a3c54705a2ab8c5823d7f,bayesian-logistic-blend-shadow-v1,matchup_2eff2435db7496ee92cfbb0bba997a7f2342807dc8f08b889daa4902ba093ae4,638cfec7ec559d6e,2026-09-12,date,,41523699f37d400c,d1026588fa65693f,Sean King III,Jessie Rosas,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.5,0.5,0.5,0.5,0.5,0.5462639465757038,1.205319105359576,0,0,0.001991504585745865,True,True,False
1,de3e2aacc80c5da2aae7e1c09237a9a53edcdad6d8ac48acb5e2eff9a78fa8fe,bayesian-logistic-blend-shadow-v1,matchup_7a11d1373c50e9cbe7af10195864810d4b1c4ebbc188faf9130ebe6994b34f70,638cfec7ec559d6e,2026-09-12,date,,7cbf7c78d3b34218,de83f920fd302871,Drakkar Klose,Tommy Gantt,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.27748673929379347,0.27591628160251386,0.20018418733377955,0.35716605608590696,0.2766281727895921,0.5462639465757038,1.205319105359576,13,1,0.001991504585745865,True,True,False
1,deb600ea6a55acc23c43c4a0f0e796d931b6256ab6a649706748ea8d27e406f5,bayesian-logistic-blend-shadow-v1,matchup_1795f0f9b8401650217d3518f508681af01a56f2d856f666f6a286be6bb24b4e,638cfec7ec559d6e,2026-09-12,date,,e4a47b07044ddd72,447f9858ae78f921,Ignacio Bahamondes,Muslim Salikhov,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.6842526558627736,0.7136787938338727,0.6216314613262568,0.7974307115686182,0.700530575244556,0.5462639465757038,1.205319105359576,10,14,0.001991504585745865,True,True,False
1,e7e122f32ec4181129b832e463713b43a4742abb9d55d629fe16cc22349573ce,bayesian-logistic-blend-shadow-v1,matchup_abc39e40cf108721027025feb07e881cfd6cdcf3cbb5ac9f60e3b80d0b606c6b,638cfec7ec559d6e,2026-09-12,date,,fc08099550072fe4,fa6796c55d6c5440,Waldo Cortes Acosta,Curtis Blaydes,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.4051253555935283,0.4243431054064436,0.301081891749528,0.5576680402038703,0.4155912559645303,0.5462639465757038,1.205319105359576,13,21,0.001991504585745865,True,True,False
1,f8f95b1e596a0321d28a1740c13ca75030788fdee260ae6e54b4ab6c8a363200,bayesian-logistic-blend-shadow-v1,matchup_d2991ba39eeb0b23aafb0230892c0807c82ad3247da4834b997399065a0f2efb,638cfec7ec559d6e,2026-09-12,date,,792be9a24df82ed6,2fe9032955c2e013,Brandon Moreno,Joseph Morales,2026-09-06T14:43:14.000000Z,f062b187c1dfad68c4511d2d560c2af3a5daec84,dd277f070a1d48b5fe2f7269855b20868bc9264712e526d06255897238a7b1ea,2016-09-10,2026-09-05,4947,b94517252dba82366be7878065766aedea5a5661a379d5676ca5d70bc33ee91f,b14ded6412fccd93cbac,47629589f1b2a613c3cd,0.6692397581190549,0.6798174038680699,0.5797672304592201,0.7690805887808416,0.6750400090790762,0.5462639465757038,1.205319105359576,20,5,0.001991504585745865,True,True,False
